"","Product ID","Type","Air temperature [K]","Process temperature [K]","Rotational speed [rpm]","Torque [Nm]"
"2928","L50106","L","300.7","309.7","1507","52.4"
"2929","M17787","M","300.7","309.6","1421","49.8"
"2930","M17788","M","300.8","309.7","1258","54.9"
"2931","M17789","M","300.8","309.7","1482","39.0"
"2932","H32344","H","300.7","309.6","1403","51.3"
"2933","L50111","L","300.8","309.7","1373","45.4"
"2934","L50112","L","300.9","309.7","1460","42.1"
"2935","M17793","M","300.8","309.7","1751","27.9"
"2936","M17794","M","300.8","309.6","1546","42.3"
"2937","M17795","M","300.8","309.7","1680","28.2"
"2938","M17796","M","300.9","309.7","1394","48.8"
"2939","L50117","L","300.7","309.6","1810","26.0"
"2940","L50118","L","300.7","309.5","1479","34.5"
"2941","L50119","L","300.9","309.7","1431","41.4"
"2942","L50120","L","300.9","309.7","2355","14.4"
"2943","M17801","M","300.7","309.6","1996","19.8"
"2944","L50122","L","300.7","309.5","1461","49.9"
"2945","H32357","H","300.7","309.5","2007","19.7"
"2946","L50124","L","300.7","309.6","1505","34.9"
"2947","H32359","H","300.7","309.6","1925","20.5"
"2948","M17806","M","300.7","309.5","1622","30.5"
"2949","L50127","L","300.7","309.5","1592","29.0"
"2950","L50128","L","300.7","309.5","1850","24.5"
"2951","M17809","M","300.7","309.5","1470","48.7"
"2952","M17810","M","300.7","309.5","1445","46.4"
"2953","L50131","L","300.7","309.5","1685","31.1"
"2954","H32366","H","300.7","309.5","1667","30.5"
"2955","L50133","L","300.7","309.5","1578","35.4"
"2956","H32368","H","300.6","309.4","1691","28.0"
"2957","M17815","M","300.7","309.5","1439","43.8"
"2958","M17816","M","300.8","309.6","1404","38.7"
"2959","L50137","L","300.8","309.6","1498","45.8"
"2960","M17818","M","300.8","309.5","1481","44.5"
"2961","M17819","M","300.7","309.4","1589","35.0"
"2962","L50140","L","300.7","309.5","1467","44.3"
"2963","L50141","L","300.6","309.4","1654","32.8"
"2964","L50142","L","300.7","309.5","1508","39.9"
"2965","M17823","M","300.7","309.6","1439","43.0"
"2966","L50144","L","300.7","309.5","1692","30.3"
"2967","M17825","M","300.7","309.5","1838","24.9"
"2968","L50146","L","300.6","309.3","1601","40.2"
"2969","L50147","L","300.6","309.4","1369","51.6"
"2970","M17828","M","300.6","309.4","1312","45.2"
"2971","L50149","L","300.6","309.4","1468","44.1"
"2972","M17830","M","300.6","309.4","1452","39.4"
"2973","M17831","M","300.7","309.5","1393","43.9"
"2974","M17832","M","300.6","309.4","1432","44.2"
"2975","M17833","M","300.6","309.3","1510","46.0"
"2976","M17834","M","300.6","309.4","1521","37.2"
"2977","H32389","H","300.5","309.4","1360","46.2"
"2978","M17836","M","300.5","309.3","1881","25.5"
"2979","L50157","L","300.4","309.3","1413","50.3"
"2980","H32392","H","300.5","309.4","1642","36.2"
"2981","L50159","L","300.5","309.5","1542","38.5"
"2982","L50160","L","300.4","309.5","1447","39.3"
"2983","H32395","H","300.4","309.4","1530","40.4"
"2984","L50162","L","300.5","309.5","1795","27.7"
"2985","L50163","L","300.6","309.6","1290","57.4"
"2986","L50164","L","300.6","309.7","1639","30.4"
"2987","L50165","L","300.7","309.8","1596","31.5"
"2988","L50166","L","300.6","309.8","1455","48.0"
"2989","M17847","M","300.6","309.8","1659","28.9"
"2990","M17848","M","300.6","309.8","1532","42.5"
"2991","L50169","L","300.6","309.8","1502","42.4"
"2992","L50170","L","300.6","309.8","1688","28.6"
"2993","M17851","M","300.5","309.7","1341","50.9"
"2994","M17852","M","300.5","309.7","1685","29.4"
"2995","M17853","M","300.5","309.8","1370","55.9"
"2996","L50174","L","300.5","309.8","1461","52.5"
"2997","L50175","L","300.5","309.8","1550","37.4"
"2998","M17856","M","300.5","309.8","1508","37.8"
"2999","L50177","L","300.5","309.8","1345","62.7"
"3000","L50178","L","300.5","309.7","1616","34.5"
"3001","L50179","L","300.5","309.7","1395","61.0"
"3002","H32414","H","300.5","309.8","1324","72.8"
"3003","L50181","L","300.5","309.8","1445","43.9"
"3004","M17862","M","300.5","309.8","1555","38.9"
"3005","M17863","M","300.6","309.9","1449","42.4"
"3006","M17864","M","300.5","309.9","1466","53.2"
"3007","L50185","L","300.5","309.9","1503","37.4"
"3008","L50186","L","300.4","309.7","1488","35.7"
"3009","L50187","L","300.4","309.7","1314","50.2"
"3010","M17868","M","300.4","309.7","1547","38.0"
"3011","M17869","M","300.4","309.7","1466","39.8"
"3012","L50190","L","300.3","309.6","1537","37.1"
"3013","M17871","M","300.2","309.5","1434","51.5"
"3014","L50192","L","300.4","309.6","1432","44.7"
"3015","L50193","L","300.5","309.6","1390","48.4"
"3016","L50194","L","300.5","309.7","1580","42.8"
"3017","L50195","L","300.5","309.7","1589","30.5"
"3018","L50196","L","300.5","309.8","1441","48.8"
"3019","L50197","L","300.5","309.8","1305","51.7"
"3020","M17878","M","300.5","309.8","1566","35.9"
"3021","L50199","L","300.5","309.8","1379","54.2"
"3022","L50200","L","300.4","309.6","1543","38.1"
"3023","L50201","L","300.5","309.8","1421","49.6"
"3024","L50202","L","300.5","309.6","1760","30.6"
"3025","L50203","L","300.4","309.5","1711","29.2"
"3026","L50204","L","300.5","309.6","1465","41.6"
"3027","L50205","L","300.5","309.6","1366","50.2"
"3028","M17886","M","300.4","309.5","1888","21.9"
"3029","L50207","L","300.5","309.5","1777","23.6"
"3030","L50208","L","300.5","309.5","1379","55.6"
"3031","L50209","L","300.4","309.5","1525","51.3"
"3032","M17890","M","300.4","309.6","1563","34.0"
"3033","M17891","M","300.5","309.7","1389","43.3"
"3034","M17892","M","300.6","309.8","1447","42.9"
"3035","M17893","M","300.6","309.7","1934","22.8"
"3036","H32448","H","300.6","309.7","1470","43.8"
"3037","M17895","M","300.6","309.7","1428","42.6"
"3038","L50216","L","300.4","309.6","1319","48.1"
"3039","L50217","L","300.5","309.7","1887","24.3"
"3040","L50218","L","300.4","309.5","1349","50.4"
"3041","M17899","M","300.3","309.5","1665","31.4"
"3042","L50220","L","300.3","309.5","1474","38.7"
"3043","L50221","L","300.4","309.5","1543","38.9"
"3044","M17902","M","300.2","309.4","1459","43.9"
"3045","L50223","L","300.3","309.5","1551","37.9"
"3046","L50224","L","300.2","309.4","1981","21.4"
"3047","L50225","L","300.2","309.4","1526","35.3"
"3048","M17906","M","300.2","309.4","1501","40.0"
"3049","L50227","L","300.2","309.4","1558","38.3"
"3050","L50228","L","300.2","309.3","1532","43.2"
"3051","L50229","L","300.1","309.2","1326","55.9"
"3052","L50230","L","300.2","309.2","1431","51.3"
"3053","L50231","L","300.2","309.3","1366","49.3"
"3054","L50232","L","300.1","309.2","1421","42.5"
"3055","H32467","H","300.2","309.3","1506","35.6"
"3056","H32468","H","300.2","309.3","1342","48.7"
"3057","L50235","L","300.1","309.2","1427","37.6"
"3058","L50236","L","300.2","309.2","1667","29.9"
"3059","L50237","L","300.1","309.1","1400","46.7"
"3060","L50238","L","300.0","309","1709","32.1"
"3061","M17919","M","300.0","309","1368","45.8"
"3062","L50240","L","300.0","309.1","1882","23.8"
"3063","L50241","L","300.1","309.1","1353","58.7"
"3064","L50242","L","299.9","309","1553","40.0"
"3065","L50243","L","300.0","309.1","1431","45.4"
"3066","M17924","M","300.1","309.1","1731","30.4"
"3067","M17925","M","300.1","309.2","1687","27.7"
"3068","M17926","M","300.1","309.2","1457","44.3"
"3069","L50247","L","300.1","309.2","1533","37.0"
"3070","H32482","H","300.0","309","1622","31.8"
"3071","L50249","L","300.0","309.1","1791","28.2"
"3072","L50250","L","300.0","309.1","1631","28.3"
"3073","L50251","L","300.0","309","2174","16.9"
"3074","L50252","L","300.1","309","1314","58.2"
"3075","L50253","L","300.1","309.1","1478","46.9"
"3076","L50254","L","300.1","309.2","1783","27.3"
"3077","M17935","M","300.1","309.2","1385","46.1"
"3078","L50256","L","300.0","309.2","1444","43.6"
"3079","L50257","L","300.1","309.3","1841","23.0"
"3080","M17938","M","300.1","309.4","1349","56.2"
"3081","L50259","L","300.1","309.3","1340","56.0"
"3082","M17940","M","299.9","309.2","1539","43.2"
"3083","M17941","M","300.0","309.3","1932","21.8"
"3084","M17942","M","300.0","309.3","1407","43.9"
"3085","L50263","L","300.1","309.3","1712","28.5"
"3086","H32498","H","300.1","309.4","1329","55.2"
"3087","L50265","L","300.1","309.2","1441","42.9"
"3088","L50266","L","300.0","309.2","1610","32.1"
"3089","M17947","M","300.0","309.1","1474","45.2"
"3090","M17948","M","300.0","309.1","1624","30.8"
"3091","H32503","H","300.1","309.3","1520","38.2"
"3092","H32504","H","300.1","309.3","1448","45.8"
"3093","L50271","L","300.0","309.3","1558","29.7"
"3094","M17952","M","300.0","309.3","2293","16.3"
"3095","L50273","L","300.0","309.3","1397","51.2"
"3096","L50274","L","300.0","309.3","1972","22.0"
"3097","M17955","M","299.9","309.2","1574","36.5"
"3098","L50276","L","299.9","309.2","1560","38.9"
"3099","M17957","M","299.9","309.2","1353","49.8"
"3100","M17958","M","299.9","309.2","1389","51.2"
"3101","M17959","M","299.9","309.1","1513","43.8"
"3102","L50280","L","299.8","309.1","1578","42.1"
"3103","H32515","H","299.8","309","1467","37.3"
"3104","L50282","L","299.9","309.1","1412","48.3"
"3105","L50283","L","299.8","309.1","1668","30.3"
"3106","M17964","M","299.8","309.2","1678","29.8"
"3107","L50285","L","299.8","309.1","1612","35.4"
"3108","L50286","L","299.8","309.1","1485","39.9"
"3109","M17967","M","299.8","309.1","1456","39.4"
"3110","L50288","L","299.8","309.2","1504","38.7"
"3111","L50289","L","299.9","309.2","1491","44.3"
"3112","H32524","H","299.9","309.2","1525","33.2"
"3113","L50291","L","300.0","309.2","1759","27.9"
"3114","M17972","M","299.8","309.1","1355","56.7"
"3115","M17973","M","299.9","309.1","1345","56.8"
"3116","M17974","M","299.9","309.2","1683","30.5"
"3117","L50295","L","299.9","309.2","1658","34.8"
"3118","L50296","L","300.0","309.2","1566","34.4"
"3119","M17977","M","300.1","309.3","1469","43.9"
"3120","M17978","M","300.2","309.5","1458","46.9"
"3121","L50299","L","300.1","309.4","1858","23.6"
"3122","H32534","H","300.1","309.4","1563","40.8"
"3123","L50301","L","300.1","309.4","2141","17.9"
"3124","L50302","L","300.0","309.3","1473","46.0"
"3125","H32537","H","300.0","309.4","1498","38.5"
"3126","L50304","L","300.1","309.4","1568","39.7"
"3127","L50305","L","300.1","309.4","1694","27.4"
"3128","L50306","L","300.0","309.4","1499","35.7"
"3129","L50307","L","300.0","309.5","1717","28.3"
"3130","M17988","M","300.1","309.5","1462","42.8"
"3131","L50309","L","300.1","309.6","1642","34.5"
"3132","L50310","L","300.1","309.6","1760","25.4"
"3133","L50311","L","300.1","309.5","1660","32.7"
"3134","L50312","L","300.1","309.5","1557","40.6"
"3135","H32547","H","300.2","309.6","1442","49.2"
"3136","L50314","L","300.2","309.6","1359","51.5"
"3137","L50315","L","300.4","309.8","1342","52.5"
"3138","L50316","L","300.4","309.9","1435","54.8"
"3139","L50317","L","300.4","309.9","1567","36.5"
"3140","L50318","L","300.4","309.9","1376","43.5"
"3141","H32553","H","300.4","309.9","1513","38.7"
"3142","H32554","H","300.4","309.9","2563","12.8"
"3143","L50321","L","300.5","310","1521","45.1"
"3144","L50322","L","300.6","310","1658","34.7"
"3145","H32557","H","300.6","310","1419","42.4"
"3146","M18004","M","300.6","310","1478","36.3"
"3147","M18005","M","300.5","310","1415","43.5"
"3148","M18006","M","300.5","309.9","1780","26.5"
"3149","M18007","M","300.4","309.7","1440","42.8"
"3150","H32562","H","300.4","309.8","1448","39.7"
"3151","H32563","H","300.4","309.7","1500","35.2"
"3152","L50330","L","300.4","309.8","1513","32.9"
"3153","L50331","L","300.5","309.8","1428","43.8"
"3154","M18012","M","300.5","309.8","1473","42.3"
"3155","M18013","M","300.5","309.9","1483","49.3"
"3156","L50334","L","300.4","309.7","1534","42.5"
"3157","L50335","L","300.5","309.8","1367","54.0"
"3158","L50336","L","300.4","309.7","1467","36.9"
"3159","M18017","M","300.4","309.7","1488","42.2"
"3160","L50338","L","300.4","309.7","1679","30.1"
"3161","H32573","H","300.4","309.8","1409","47.5"
"3162","M18020","M","300.4","309.7","1367","51.2"
"3163","L50341","L","300.4","309.8","1314","63.1"
"3164","L50342","L","300.5","309.9","1480","40.0"
"3165","L50343","L","300.4","309.8","1549","38.9"
"3166","L50344","L","300.4","309.7","1685","31.3"
"3167","L50345","L","300.4","309.6","1536","34.5"
"3168","M18026","M","300.4","309.7","1539","37.7"
"3169","L50347","L","300.4","309.7","1384","45.1"
"3170","M18028","M","300.4","309.6","1614","30.3"
"3171","M18029","M","300.4","309.6","1675","35.5"
"3172","M18030","M","300.4","309.7","1685","32.3"
"3173","L50351","L","300.4","309.6","1386","56.9"
"3174","M18032","M","300.3","309.6","1488","41.3"
"3175","L50353","L","300.3","309.6","1624","32.6"
"3176","L50354","L","300.3","309.6","1600","34.6"
"3177","L50355","L","300.3","309.6","1468","44.7"
"3178","L50356","L","300.3","309.6","1435","45.4"
"3179","M18037","M","300.2","309.5","1564","33.4"
"3180","M18038","M","300.2","309.4","1329","53.6"
"3181","L50359","L","300.1","309.3","1570","36.8"
"3182","M18040","M","300.2","309.4","1433","48.8"
"3183","L50361","L","300.2","309.4","1527","37.0"
"3184","M18042","M","300.1","309.3","1443","50.3"
"3185","L50363","L","300.1","309.3","1616","32.0"
"3186","L50364","L","300.1","309.3","1654","31.0"
"3187","L50365","L","300.1","309.3","1685","27.1"
"3188","M18046","M","300.2","309.4","1456","48.8"
"3189","M18047","M","300.2","309.4","1752","27.8"
"3190","M18048","M","300.1","309.2","1438","51.0"
"3191","L50369","L","300.1","309.1","1551","33.7"
"3192","L50370","L","300.1","309.2","1599","30.1"
"3193","M18051","M","300.1","309.2","1732","33.7"
"3194","M18052","M","300.1","309.2","1418","39.8"
"3195","L50373","L","300.0","309.1","1401","44.5"
"3196","L50374","L","300.0","309","1454","51.7"
"3197","M18055","M","300.0","309.2","1635","32.4"
"3198","L50376","L","300.0","309.1","1489","40.3"
"3199","L50377","L","300.0","309.1","1465","40.6"
"3200","M18058","M","300.0","309.1","1463","45.7"
"3201","H32613","H","300.1","309.1","1560","35.4"
"3202","M18060","M","300.1","309.2","1454","44.4"
"3203","L50381","L","300.2","309.1","1479","47.0"
"3204","L50382","L","300.2","309.2","1430","43.4"
"3205","M18063","M","300.1","309.1","1533","38.0"
"3206","L50384","L","300.1","309","1404","54.8"
"3207","M18065","M","300.1","308.9","1548","38.4"
"3208","M18066","M","300.1","309","1612","33.0"
"3209","M18067","M","300.2","309","1642","31.2"
"3210","M18068","M","300.2","309.1","1406","42.2"
"3211","L50389","L","300.3","309.2","1587","31.4"
"3212","M18070","M","300.3","309.2","1364","47.6"
"3213","L50391","L","300.3","309.2","1462","51.4"
"3214","L50392","L","300.3","309.2","1649","32.4"
"3215","L50393","L","300.4","309.2","1752","29.0"
"3216","H32628","H","300.4","309.3","1396","51.2"
"3217","M18075","M","300.5","309.4","2179","16.3"
"3218","L50396","L","300.5","309.5","1653","27.6"
"3219","L50397","L","300.6","309.5","2025","21.4"
"3220","L50398","L","300.6","309.6","1426","53.6"
"3221","M18079","M","300.6","309.6","1503","38.4"
"3222","M18080","M","300.7","309.6","1525","36.5"
"3223","L50401","L","300.6","309.6","1423","49.1"
"3224","M18082","M","300.7","309.7","1435","44.7"
"3225","H32637","H","300.6","309.5","1495","36.5"
"3226","M18084","M","300.6","309.5","1557","33.8"
"3227","L50405","L","300.6","309.4","1474","40.7"
"3228","L50406","L","300.5","309.3","1465","46.0"
"3229","M18087","M","300.5","309.3","1589","34.9"
"3230","L50408","L","300.5","309.3","1475","46.8"
"3231","L50409","L","300.6","309.4","1442","43.2"
"3232","L50410","L","300.6","309.4","1556","36.0"
"3233","L50411","L","300.7","309.3","1425","45.3"
"3234","L50412","L","300.7","309.3","1580","38.3"
"3235","H32647","H","300.8","309.4","1474","40.7"
"3236","L50414","L","300.8","309.4","1489","38.4"
"3237","L50415","L","300.8","309.4","1946","20.5"
"3238","M18096","M","300.8","309.4","1342","62.4"
"3239","M18097","M","300.9","309.5","1758","26.8"
"3240","M18098","M","300.9","309.4","1724","25.6"
"3241","L50419","L","301.0","309.5","1430","48.5"
"3242","L50420","L","300.9","309.5","1612","35.2"
"3243","H32655","H","300.9","309.5","1469","43.4"
"3244","L50422","L","300.9","309.6","1384","42.4"
"3245","L50423","L","301.0","309.6","1724","28.1"
"3246","M18104","M","301.0","309.6","1397","48.0"
"3247","M18105","M","301.0","309.6","1588","32.7"
"3248","L50426","L","301.0","309.7","1468","42.0"
"3249","M18107","M","301.0","309.8","1594","31.1"
"3250","M18108","M","301.0","309.7","1511","39.3"
"3251","L50429","L","301.1","309.8","1493","38.9"
"3252","H32664","H","301.2","309.8","1709","27.0"
"3253","L50431","L","301.1","309.6","1501","36.1"
"3254","L50432","L","301.1","309.7","1668","30.8"
"3255","L50433","L","301.1","309.6","1502","48.9"
"3256","M18114","M","301.0","309.7","1288","58.4"
"3257","L50435","L","301.0","309.7","1491","42.9"
"3258","L50436","L","301.1","309.8","1519","39.6"
"3259","L50437","L","301.2","309.9","1984","19.7"
"3260","L50438","L","301.2","309.9","1643","32.9"
"3261","M18119","M","301.2","310","1625","31.6"
"3262","M18120","M","301.3","310","2068","17.8"
"3263","H32675","H","301.3","310.1","1469","39.7"
"3264","L50442","L","301.3","310.1","1558","36.3"
"3265","L50443","L","301.3","310","1344","54.8"
"3266","H32678","H","301.3","310.1","1455","44.1"
"3267","L50445","L","301.3","310.1","1355","53.6"
"3268","L50446","L","301.3","310.1","1269","56.8"
"3269","L50447","L","301.3","310","1550","41.5"
"3270","M18128","M","301.3","310.1","1525","37.8"
"3271","M18129","M","301.3","310","1696","32.4"
"3272","L50450","L","301.4","310.1","1937","21.8"
"3273","M18131","M","301.4","310","1689","32.1"
"3274","M18132","M","301.3","310","1593","30.8"
"3275","M18133","M","301.3","309.9","1565","36.0"
"3276","L50454","L","301.3","310","1665","31.4"
"3277","H32689","H","301.3","310","1532","36.3"
"3278","L50456","L","301.3","310","1438","40.9"
"3279","L50457","L","301.3","310.1","1531","41.6"
"3280","L50458","L","301.3","310","1506","40.8"
"3281","L50459","L","301.2","309.9","1382","52.4"
"3282","M18140","M","301.2","309.9","1456","50.8"
"3283","M18141","M","301.2","310","1445","45.6"
"3284","L50462","L","301.2","309.9","1515","40.9"
"3285","L50463","L","301.2","309.9","1449","45.5"
"3286","H32698","H","301.2","309.9","1362","50.7"
"3287","L50465","L","301.2","309.9","1687","29.7"
"3288","L50466","L","301.2","310","1618","37.6"
"3289","M18147","M","301.2","310.1","1558","32.6"
"3290","L50468","L","301.3","310.1","1662","31.0"
"3291","M18149","M","301.2","310.1","1295","56.6"
"3292","L50470","L","301.2","310.2","1385","42.3"
"3293","M18151","M","301.2","310.1","1479","45.5"
"3294","L50472","L","301.3","310.3","1400","44.3"
"3295","M18153","M","301.2","310.3","1357","54.5"
"3296","L50474","L","301.1","310.2","1657","34.1"
"3297","L50475","L","301.1","310.2","1496","43.4"
"3298","M18156","M","301.2","310.3","1379","43.2"
"3299","L50477","L","301.2","310.3","1548","38.6"
"3300","L50478","L","301.2","310.3","1499","38.1"
"3301","L50479","L","301.3","310.5","1390","45.8"
"3302","H32714","H","301.3","310.4","1538","38.4"
"3303","L50481","L","301.3","310.5","1365","47.7"
"3304","L50482","L","301.3","310.5","1503","48.6"
"3305","L50483","L","301.2","310.4","1390","49.9"
"3306","L50484","L","301.2","310.3","1497","45.7"
"3307","M18165","M","301.3","310.4","1577","48.3"
"3308","L50486","L","301.4","310.5","1432","54.3"
"3309","M18167","M","301.4","310.5","1563","39.9"
"3310","L50488","L","301.4","310.4","1433","43.4"
"3311","L50489","L","301.3","310.4","1384","50.1"
"3312","L50490","L","301.3","310.4","1346","46.7"
"3313","L50491","L","301.3","310.4","1459","44.7"
"3314","L50492","L","301.4","310.4","1639","28.9"
"3315","L50493","L","301.4","310.4","1737","31.9"
"3316","L50494","L","301.4","310.5","1489","43.5"
"3317","M18175","M","301.5","310.6","1492","43.0"
"3318","M18176","M","301.4","310.5","1217","60.6"
"3319","L50497","L","301.5","310.5","1636","28.7"
"3320","L50498","L","301.4","310.4","1436","49.7"
"3321","L50499","L","301.4","310.4","1689","30.6"
"3322","L50500","L","301.5","310.5","2289","16.4"
"3323","L50501","L","301.5","310.6","1522","41.0"
"3324","L50502","L","301.5","310.5","1351","52.9"
"3325","L50503","L","301.5","310.5","1589","36.7"
"3326","L50504","L","301.5","310.6","1578","34.1"
"3327","L50505","L","301.5","310.6","1587","33.7"
"3328","L50506","L","301.5","310.6","1962","20.2"
"3329","M18187","M","301.5","310.6","2432","14.2"
"3330","L50508","L","301.6","310.6","1418","43.9"
"3331","L50509","L","301.6","310.7","1683","29.7"
"3332","L50510","L","301.7","310.8","1385","50.7"
"3333","L50511","L","301.7","310.8","1559","44.5"
"3334","M18192","M","301.7","310.8","1671","31.6"
"3335","M18193","M","301.6","310.8","1343","49.5"
"3336","M18194","M","301.6","310.8","1548","34.2"
"3337","L50515","L","301.7","310.9","1705","31.2"
"3338","L50516","L","301.6","310.8","1535","35.4"
"3339","L50517","L","301.6","310.8","1564","34.1"
"3340","M18198","M","301.6","310.9","1510","40.9"
"3341","L50519","L","301.6","310.9","1492","45.2"
"3342","M18200","M","301.5","310.8","1452","44.1"
"3343","H32755","H","301.4","310.7","1329","52.0"
"3344","L50522","L","301.5","310.8","1382","52.4"
"3345","M18203","M","301.5","310.8","1628","36.4"
"3346","L50524","L","301.4","310.7","1706","27.9"
"3347","L50525","L","301.3","310.7","1594","34.1"
"3348","L50526","L","301.3","310.7","1761","24.3"
"3349","L50527","L","301.3","310.6","1529","41.8"
"3350","M18208","M","301.3","310.7","1532","40.7"
"3351","L50529","L","301.4","310.7","1673","27.8"
"3352","L50530","L","301.4","310.8","1285","62.6"
"3353","L50531","L","301.4","310.8","1680","31.4"
"3354","L50532","L","301.4","310.8","1610","34.6"
"3355","L50533","L","301.6","310.9","1632","31.6"
"3356","L50534","L","301.6","310.9","1559","40.2"
"3357","L50535","L","301.5","310.8","1367","49.0"
"3358","L50536","L","301.6","310.8","1355","57.8"
"3359","H32771","H","301.6","310.7","1414","51.7"
"3360","L50538","L","301.5","310.6","1522","36.6"
"3361","L50539","L","301.5","310.6","1525","41.9"
"3362","L50540","L","301.5","310.6","1394","46.5"
"3363","L50541","L","301.5","310.6","1519","40.7"
"3364","L50542","L","301.4","310.6","1445","43.9"
"3365","L50543","L","301.4","310.6","1555","43.3"
"3366","L50544","L","301.4","310.5","1633","39.5"
"3367","M18225","M","301.4","310.6","1630","30.3"
"3368","M18226","M","301.4","310.7","1692","32.3"
"3369","H32781","H","301.5","310.7","1790","26.2"
"3370","L50548","L","301.5","310.8","1350","58.5"
"3371","L50549","L","301.5","310.9","2760","8.0"
"3372","L50550","L","301.4","310.7","1584","32.2"
"3373","L50551","L","301.4","310.7","1989","21.8"
"3374","L50552","L","301.4","310.8","1431","44.3"
"3375","L50553","L","301.4","310.7","1568","35.2"
"3376","L50554","L","301.4","310.7","1376","50.6"
"3377","M18235","M","301.4","310.6","1459","46.9"
"3378","M18236","M","301.5","310.8","1385","47.5"
"3379","H32791","H","301.5","310.8","1591","29.6"
"3380","L50558","L","301.5","310.7","1568","33.1"
"3381","M18239","M","301.4","310.7","1459","37.7"
"3382","L50560","L","301.4","310.7","1590","36.3"
"3383","L50561","L","301.3","310.6","1376","47.6"
"3384","L50562","L","301.3","310.6","1510","38.5"
"3385","H32797","H","301.4","310.6","1674","33.6"
"3386","L50564","L","301.3","310.6","1426","40.7"
"3387","L50565","L","301.5","310.7","1466","43.6"
"3388","H32800","H","301.5","310.8","1474","38.7"
"3389","M18247","M","301.6","310.8","1290","65.3"
"3390","M18248","M","301.7","310.9","1435","48.0"
"3391","M18249","M","301.5","310.7","1416","53.2"
"3392","H32804","H","301.5","310.7","1599","40.4"
"3393","L50571","L","301.5","310.7","1466","47.3"
"3394","L50572","L","301.5","310.7","1408","47.3"
"3395","L50573","L","301.5","310.6","1490","48.1"
"3396","L50574","L","301.5","310.6","1405","42.3"
"3397","L50575","L","301.4","310.5","1647","33.3"
"3398","M18256","M","301.4","310.6","1459","35.0"
"3399","L50577","L","301.4","310.6","1648","30.7"
"3400","L50578","L","301.4","310.7","1675","30.7"
"3401","L50579","L","301.4","310.7","1605","34.2"
"3402","H32814","H","301.4","310.7","1536","44.4"
"3403","M18261","M","301.4","310.7","1617","34.3"
"3404","L50582","L","301.4","310.6","1347","53.3"
"3405","L50583","L","301.3","310.5","1337","52.7"
"3406","L50584","L","301.3","310.4","1695","30.9"
"3407","M18265","M","301.3","310.4","1635","32.5"
"3408","L50586","L","301.2","310.4","1470","44.0"
"3409","L50587","L","301.2","310.4","1381","49.8"
"3410","M18268","M","301.2","310.4","1382","41.6"
"3411","M18269","M","301.2","310.4","1697","30.0"
"3412","L50590","L","301.2","310.3","1451","39.7"
"3413","L50591","L","301.3","310.3","1419","55.7"
"3414","L50592","L","301.3","310.3","1313","55.6"
"3415","L50593","L","301.3","310.3","1560","36.3"
"3416","L50594","L","301.3","310.3","1555","41.2"
"3417","L50595","L","301.4","310.4","1579","36.9"
"3418","L50596","L","301.5","310.5","1435","44.6"
"3419","L50597","L","301.6","310.6","1621","33.7"
"3420","H32832","H","301.6","310.6","1555","40.4"
"3421","L50599","L","301.5","310.5","1611","33.8"
"3422","L50600","L","301.6","310.6","1834","23.5"
"3423","M18281","M","301.5","310.5","1612","29.8"
"3424","L50602","L","301.5","310.4","1629","34.1"
"3425","L50603","L","301.4","310.4","1496","35.2"
"3426","L50604","L","301.5","310.5","1593","32.9"
"3427","M18285","M","301.5","310.5","1623","33.5"
"3428","L50606","L","301.5","310.5","1380","48.7"
"3429","L50607","L","301.6","310.6","1562","34.4"
"3430","L50608","L","301.6","310.6","1391","49.4"
"3431","H32843","H","301.5","310.5","1551","34.3"
"3432","H32844","H","301.6","310.6","1821","26.2"
"3433","L50611","L","301.6","310.7","1429","43.6"
"3434","M18292","M","301.6","310.7","2012","20.7"
"3435","M18293","M","301.6","310.6","1924","23.6"
"3436","M18294","M","301.5","310.5","1412","44.1"
"3437","L50615","L","301.5","310.5","1389","54.9"
"3438","L50616","L","301.5","310.5","1466","48.1"
"3439","L50617","L","301.5","310.5","2297","15.8"
"3440","L50618","L","301.4","310.4","1471","37.5"
"3441","L50619","L","301.4","310.3","1492","41.4"
"3442","L50620","L","301.3","310.3","1460","41.5"
"3443","L50621","L","301.4","310.4","1559","39.4"
"3444","M18302","M","301.4","310.5","1495","52.5"
"3445","L50623","L","301.5","310.5","1535","39.0"
"3446","L50624","L","301.5","310.6","1381","50.7"
"3447","M18305","M","301.6","310.6","1599","36.1"
"3448","H32860","H","301.6","310.6","1400","49.5"
"3449","L50627","L","301.7","310.6","1624","34.5"
"3450","L50628","L","301.6","310.6","1478","36.6"
"3451","L50629","L","301.7","310.7","1605","33.3"
"3452","L50630","L","301.6","310.6","1506","43.4"
"3453","L50631","L","301.6","310.6","1455","43.9"
"3454","H32866","H","301.6","310.5","1602","32.3"
"3455","L50633","L","301.5","310.4","1425","54.4"
"3456","L50634","L","301.5","310.4","1918","21.8"
"3457","H32869","H","301.4","310.3","1611","41.5"
"3458","H32870","H","301.4","310.4","1610","38.6"
"3459","M18317","M","301.5","310.4","2639","12.0"
"3460","L50638","L","301.5","310.4","1329","46.6"
"3461","L50639","L","301.5","310.4","1270","54.2"
"3462","L50640","L","301.5","310.3","1415","41.6"
"3463","H32875","H","301.6","310.4","1330","49.5"
"3464","H32876","H","301.6","310.5","1786","27.1"
"3465","L50643","L","301.6","310.5","1809","25.5"
